Entity;Code;Year;Terrorism fatalities (GTD, 2018)
Ireland;IRL;1983;5
Ireland;IRL;1984;1
Ireland;IRL;1985;2
Ireland;IRL;1986;0
Ireland;IRL;1987;6
Ireland;IRL;1988;4
Ireland;IRL;1989;3
Ireland;IRL;1990;0
Ireland;IRL;1991;3
Ireland;IRL;1992;0
Ireland;IRL;1993;1
Ireland;IRL;1994;4
Ireland;IRL;1995;1
Ireland;IRL;1996;1
Ireland;IRL;1997;0
Ireland;IRL;1998;1
Ireland;IRL;1999;0
Ireland;IRL;2000;0
Ireland;IRL;2001;0
Ireland;IRL;2002;0
Ireland;IRL;2003;0
Ireland;IRL;2004;0
Ireland;IRL;2005;0
Ireland;IRL;2006;1
Ireland;IRL;2007;0
Ireland;IRL;2008;0
Ireland;IRL;2009;0
Ireland;IRL;2010;0
Ireland;IRL;2011;1
Ireland;IRL;2012;0
Ireland;IRL;2013;0
Ireland;IRL;2014;0
Ireland;IRL;2015;0
Ireland;IRL;2016;2
Ireland;IRL;2017;0
Ireland;IRL;2018;0
Ireland;IRL;2019;0